00010902	93
00011530	95
00014116	62
00016413	77.5
00025610	79
00025646	90
00025696	91
00030079	90
00030316	96
00031114	67.5
00031164	82
00033992	81
00035835	86
00042929	94
00043090	92
00054219	81
00059142	91
00065660	84.5
00069642	75.5
00073083	86
00077704	77.5
00087096	87
00087151	88.5
00096140	92
00101610	87
00102793	97
00102872	65
00102901	91.5
00102963	93
00103046	95
00107080	82
00110506	41.5
00117932	94
00118065	64
00134514	80
00142078	94
00142731	95
00142872	46
00144208	98
00147406	77
00148400	78
00148589	86.5
00148606	93
00149363	71
00150075	95.5
00150166	94
00150219	86.5
00158182	86.5
00159411	98
00163486	93
00163670	68
00169222	94
00184935	82
00186660	85
00187420	86
00202660	77.5
00202725	83.5
00205002	81.5
00205090	100
00205143	52
00205193	82
00216324	90
00219429	66
00220208	89
00226549	73
00226575	86
00226604	65
00232952	44
00233011	49.5
00235916	80
00242892	92
00243004	75.5
00248042	92.5
00254742	82
00254766	87
00254819	82
00255667	68.5
00255772	87
00256764	80
00258554	93
00260105	88
00260167	70
00263365	93
00265399	74
00268559	92
00270760	90
00277079	90
00278542	91.5
00278580	83.5
00278920	79
00281264	78
00282402	83
00285753	85
00289981	89
00290045	89
00295045	90
00300620	87
00312805	91
00313249	87
00313483	69
00318031	75.5
00333342	52.5
00345797	81
00346698	83
00355950	64
00375077	83.5
00387862	89
00537156	97
99025146	98
99025354	94
99650173	87.5
99650202	76
99650214	91.5
