ID	2nd Midterm Marks

7537181	98
5167669	96
7536840	93
4725385	92
7537038	92
5739292	82
5729948	82
7536864	81
6232071	78
5743229	76
5041205	73
5031535	71
5206427	70
5164253	70
7537014	67
4725141	66
5017008	64
6617881	58
7536151	47
5240435	42
5126823	37
3741526	37
7535808	34
7536175	33
7485869	33

Mean: 	67 
STD:	21 
